date,hospital_id,hospital_type,location,daily_admissions,daily_discharges,emergency_cases,outpatient_visits,flu_cases,covid_cases,respiratory_cases,beds_occupied,icu_beds_occupied,oxygen_units_used,ventilators_used,temperature,rainfall,air_quality_index,festival_or_event,next_day_beds_needed,next_day_icu_needed,next_day_oxygen_needed
2025-09-23,1,small,rural,22.0,21,20,171,13,1.0,6,61,11,76,1,37.0,43.7371824828283,155,0,79.0,23.0,71.0
2025-08-11,3,medium,urban,25.0,16,14,171,24,10.0,20,60,21,64,2,29.0,21.147177187077887,188,1,62.0,6.0,68.0
2025-08-17,3,small,rural,44.0,26,21,100,21,4.0,17,91,23,35,3,29.0,4.88050190544958,73,1,111.0,5.0,53.0
2025-04-02,1,medium,rural,39.0,15,15,51,18,14.0,23,91,21,74,7,24.0C,15.582645832732444,115,0,69.0,6.0,47.0
2025-08-23,1,small,rural,29.0,20,20,170,15,3.0,7,92,16,44,6,nan,26.863783683401905,149,1,94.0,24.0,35.0
2025-02-21,4,small,rural,36.0,35,6,149,22,7.0,11,52,6,37,2,nanC,13.002402012621694,194,0,84.0,24.0,66.0
2025-11-19,2,medium,urban,,32,14,150,23,10.0,19,58,7,75,6,nanC,22.294330992990396,147,0,102.0,20.0,28.0
2026-01-20,5,small,urban,53.0,36,20,189,11,,29,45,6,33,3,23.0C,49.78225883371746,151,0,71.0,16.0,68.0
2025-01-25,1,small,rural,29.0,25,9,173,6,10.0,11,106,10,66,2,27.0C,22.91817397131531,158,1,67.0,10.0,28.0
2025-02-27,2,small,rural,41.0,34,15,133,10,4.0,17,93,20,64,5,nan,5.625156526331587,68,0,75.0,20.0,69.0
2025-04-24,3,medium,urban,53.0,26,22,84,6,1.0,9,104,20,73,7,38.0,41.06297101864227,158,0,81.0,6.0,41.0
2025-10-12,1,small,urban,56.0,24,10,114,15,10.0,8,77,7,54,1,32.0,5.372527631445406,153,0,117.0,12.0,76.0
2025-04-05,1,small,rural,36.0,45,12,159,13,6.0,18,96,20,79,8,24.0,48.62841178248684,110,1,91.0,6.0,78.0
2025-07-27,3,small,urban,33.0,47,20,139,14,,28,60,5,74,7,33.0C,44.79078657800974,131,0,88.0,24.0,72.0
2025-05-15,3,small,rural,44.0,39,16,141,18,8.0,25,102,16,25,1,28.0,9.41160998845228,149,0,67.0,9.0,42.0
2025-06-19,4,small,rural,22.0,19,11,173,24,9.0,5,55,10,46,5,36.0,2.810695272993924,70,0,95.0,16.0,28.0
2026-04-14,1,small,RURAL ,27.0,20,18,124,6,3.0,26,102,7,20,5,nanC,4.370840393554193,139,0,51.0,17.0,46.0
2025-06-14,3,MEDIUM,Urban,33.0,15,15,95,9,5.0,29,119,12,69,2,36.0,28.937823817999963,116,0,43.0,23.0,67.0
2025-03-01,2,medium,rural,46.0,46,12,74,16,4.0,7,40,18,66,3,29.0,13.75494407795622,126,1,54.0,11.0,31.0
2025-09-26,5,medium,rural,31.0,27,10,147,7,12.0,29,104,19,79,9,38.0,3.364230646075728,58,1,102.0,18.0,43.0
2025-01-09,3,small,urban,30.0,46,11,72,8,8.0,20,52,9,62,6,21.0C,16.140489672392516,106,0,45.0,8.0,44.0
