date,admissions,icu_occupancy,general_occupancy,oxygen_usage_liters,avg_patient_age
2025-01-01,52,14,37,437,53
2025-01-02,49,15,29,420,42
2025-01-03,53,15,39,350,52
2025-01-04,58,17,32,538,46
2025-01-05,50,12,40,442,49
2025-01-06,50,15,37,474,60
2025-01-07,59,19,42,356,71
2025-01-08,56,21,44,580,58
2025-01-09,50,17,43,418,43
2025-01-10,55,22,43,522,59
2025-01-11,51,12,26,381,66
2025-01-12,51,17,29,464,48
2025-01-13,55,17,35,414,53
2025-01-14,44,19,30,342,55
2025-01-15,46,11,34,486,47
2025-01-16,52,13,32,432,61
2025-01-17,50,13,35,435,53
2025-01-18,57,10,36,528,59
2025-01-19,51,13,32,458,46
2025-01-20,49,12,27,424,50
2025-01-21,64,19,40,562,62
2025-01-22,55,17,31,587,51
2025-01-23,57,22,35,481,72
2025-01-24,50,17,40,435,51
2025-01-25,55,14,33,520,57
2025-01-26,58,14,53,548,64
2025-01-27,52,17,38,501,40
2025-01-28,60,14,42,541,37
2025-01-29,56,22,34,418,39
2025-01-30,58,20,44,574,67
2025-01-31,56,15,36,418,49
2025-02-01,69,15,48,601,80
2025-02-02,60,22,54,472,49
2025-02-03,55,16,38,464,56
2025-02-04,65,23,51,568,70
2025-02-05,55,11,34,483,75
2025-02-06,62,16,43,548,75
2025-02-07,52,15,45,522,67
2025-02-08,55,16,35,490,65
2025-02-09,63,17,53,523,60
2025-02-10,66,21,49,609,62
2025-02-11,63,15,41,594,49
2025-02-12,62,18,46,465,46
2025-02-13,62,18,48,556,54
2025-02-14,56,18,42,511,53
2025-02-15,60,20,34,495,50
2025-02-16,61,14,39,587,61
2025-02-17,69,16,47,578,64
2025-02-18,66,23,45,567,55
2025-02-19,56,17,42,467,69
2025-02-20,66,17,47,561,43
2025-02-21,63,23,37,480,53
2025-02-22,62,18,45,454,47
2025-02-23,68,23,50,657,36
2025-02-24,71,21,52,561,54
2025-02-25,70,27,54,545,53
2025-02-26,62,23,47,419,70
2025-02-27,65,18,47,520,61
2025-02-28,68,23,47,511,44
2025-03-01,71,23,41,685,73
2025-03-02,64,23,46,594,67
2025-03-03,66,16,47,526,60
2025-03-04,62,20,44,639,52
2025-03-05,61,21,36,567,45
2025-03-06,71,16,44,587,51
2025-03-07,74,18,57,504,65
2025-03-08,67,13,46,684,73
2025-03-09,73,21,54,551,70
2025-03-10,70,23,49,512,50
2025-03-11,65,24,45,603,43
2025-03-12,70,21,53,716,56
2025-03-13,76,27,50,715,37
2025-03-14,68,16,48,606,58
2025-03-15,76,17,50,675,53
2025-03-16,56,16,37,518,50
2025-03-17,73,23,49,658,39
2025-03-18,69,20,49,600,60
2025-03-19,67,13,44,574,49
2025-03-20,69,20,54,583,43
2025-03-21,59,13,36,463,26
2025-03-22,68,22,46,563,54
2025-03-23,71,22,47,518,72
2025-03-24,77,20,61,649,71
2025-03-25,67,18,47,520,50
2025-03-26,65,16,50,497,48
2025-03-27,67,19,39,578,59
2025-03-28,74,25,53,698,45
2025-03-29,71,18,54,649,58
2025-03-30,67,21,47,490,62
2025-03-31,72,20,55,562,67
2025-04-01,70,18,46,642,53
2025-04-02,74,21,58,579,52
2025-04-03,66,16,57,549,46
2025-04-04,68,18,45,605,46
2025-04-05,68,16,45,529,52
2025-04-06,62,24,50,532,58
2025-04-07,71,21,57,536,64
2025-04-08,71,19,47,573,46
2025-04-09,69,21,46,602,69
2025-04-10,68,20,46,498,52
2025-04-11,62,17,36,549,54
2025-04-12,67,21,42,568,47
2025-04-13,67,22,41,597,30
2025-04-14,65,17,41,563,63
2025-04-15,68,18,47,646,62
2025-04-16,71,20,50,609,52
2025-04-17,78,16,62,641,55
2025-04-18,70,16,44,601,60
2025-04-19,70,25,53,622,39
2025-04-20,68,25,46,580,49
2025-04-21,59,16,41,503,62
2025-04-22,68,22,50,542,42
2025-04-23,69,21,42,553,57
2025-04-24,80,33,57,609,41
2025-04-25,67,23,47,656,59
2025-04-26,69,20,50,524,54
2025-04-27,67,17,48,534,38
2025-04-28,62,13,55,491,66
2025-04-29,73,22,47,665,47
2025-04-30,71,19,47,588,46
2025-05-01,71,17,46,665,57
2025-05-02,62,16,40,493,66
2025-05-03,74,18,48,642,44
2025-05-04,60,23,47,468,55
2025-05-05,69,23,55,693,59
2025-05-06,77,23,51,595,61
2025-05-07,61,22,38,533,56
2025-05-08,63,19,46,567,51
2025-05-09,66,17,43,581,46
2025-05-10,63,23,47,526,55
2025-05-11,57,18,40,478,44
2025-05-12,65,16,37,554,25
2025-05-13,59,17,49,494,59
2025-05-14,67,17,55,617,64
2025-05-15,60,13,38,620,31
2025-05-16,72,24,48,584,44
2025-05-17,60,23,43,441,61
2025-05-18,62,14,45,522,75
2025-05-19,67,21,50,698,55
2025-05-20,57,15,49,444,47
2025-05-21,64,17,43,625,53
2025-05-22,69,18,44,670,68
2025-05-23,54,13,30,431,48
2025-05-24,63,19,40,563,47
2025-05-25,63,16,43,616,50
2025-05-26,65,20,54,533,45
2025-05-27,55,16,35,457,56
2025-05-28,54,15,38,429,71
2025-05-29,63,16,44,484,58
2025-05-30,62,16,49,494,52
2025-05-31,61,20,55,457,52
2025-06-01,61,19,40,520,39
2025-06-02,56,13,36,437,63
2025-06-03,60,18,47,521,54
2025-06-04,60,20,45,432,53
2025-06-05,55,11,47,484,86
2025-06-06,68,22,50,619,57
2025-06-07,60,16,40,410,47
2025-06-08,52,17,39,460,50
2025-06-09,61,16,48,579,66
2025-06-10,52,10,40,381,56
2025-06-11,61,13,45,602,40
2025-06-12,62,18,48,547,64
2025-06-13,52,16,42,406,48
2025-06-14,60,15,48,507,73
2025-06-15,57,19,43,512,65
2025-06-16,59,12,40,505,50
2025-06-17,64,19,45,570,67
2025-06-18,53,12,43,404,55
2025-06-19,50,13,30,433,63
2025-06-20,49,14,36,345,59
2025-06-21,49,12,32,410,46
2025-06-22,53,14,37,405,48
2025-06-23,54,19,44,422,65
2025-06-24,54,14,38,520,51
2025-06-25,56,19,39,530,50
2025-06-26,52,12,29,472,45
2025-06-27,58,18,44,438,59
2025-06-28,50,19,38,409,75
2025-06-29,64,11,55,604,44
